mb_release_title,local_folder_path,local_title,local_track_count,match_status,fix_note
Cannibal Rock,Jazztronik/EP/2006 - Cannibal Rock EP,Cannibal Rock EP,4,MISSING_TRACKS,
Catcher in the Rye,Datarock/Album/2010 - Lost & Found,Catcher In The Rye,15,EXTRA_TRACKS,
Catcher in the Rye,Datarock/Album/2010 - Music For Synchronization,Catcher In The Rye,15,EXTRA_TRACKS,
Catcher in the Rye,Datarock/EP/2010 - Catcher in the Rye,Catcher in the Rye,4,MISSING_TRACKS,
Cedars,Clearlake/Album/2003 - Cedars [US Bonus Track],Cedars,12,COMPLETE,
Cedars,Clearlake/Live/2003 - kexp live in New York,"KEXP Live From NYC, 10-22-03",5,MISSING_TRACKS,
Cemetery Gates B SIDES BEST,Art-School/Compilation/2017 - B Sides Best 'Cemetery Gates',Cemetery Gates B SIDES BEST,18,COMPLETE,
Cemetery Gates B SIDES BEST,Art-School/EP/2007 - Hidari Kiki No Kiki,左ききのキキ,6,MISSING_TRACKS,
Charge,David Ford/Album/2013 - Charge,Ford: Charge,10,COMPLETE,
Charge,David Ford/EP/2013 - Ford's Piano Bar,Charge,6,MISSING_TRACKS,
Chat Chat,"L⇔R/Album/1993 - Land of Riches (Remastered, 2017)","Land of Riches (Remastered, 2017)",12,MISSING_TRACKS,
Chat Chat,L⇔R/Compilation/1994 - Singles & More,Singles & More,14,EXTRA_TRACKS,
Cheyenne,Conner Youngblood/Album/2018 - Cheyenne [Japan Edition],Cheyenne,14,COMPLETE,
Cheyenne,Conner Youngblood/EP/2019 - A Few Extra Tracks From Cheyenne (EP),Cheyenne,3,MISSING_TRACKS,
Cheyenne,Conner Youngblood/EP/2024 - Pizza Body (EP),Pizza Body,4,MISSING_TRACKS,
Children of Desire,Merchandise/Album/2012 - Children of Desire,Children of Desire,6,COMPLETE,
Children of Desire,Merchandise/Album/2013 - The BBC Sessions,The BBC Sessions,4,MISSING_TRACKS,
Chronologic Discography 95-2002,Wojczech/Album/1995 - Split with Dios Hastio,Split With Dios Hastio,26,MISSING_TRACKS,
Chronologic Discography 95-2002,Wojczech/Album/1997 - Split with Sarcasm,Chronologic Discography 95-2002,9,MISSING_TRACKS,
Chronologic Discography 95-2002,Wojczech/Album/1998 - Split with Distorsion Desequilibrada,Split With Distorsion Desequilibrada,17,MISSING_TRACKS,
Chronologic Discography 95-2002,"Wojczech/Album/1999 - Nem Explorados, Nem Exploradores & L'autopsia Social [Split with Abuso Sonoro]",Chronologic Discography 95-2002,19,MISSING_TRACKS,
Chronologic Discography 95-2002,Wojczech/Album/2002 - Chronologic Discography 95-2002 [comp],Chronologic Discography 95-2002,27,MISSING_TRACKS,
Chronologic Discography 95-2002,Wojczech/EP/1996 - Toad Lee - Wojczech [Split EP with Groinchurn],Chronologic Discography 95-2002,8,MISSING_TRACKS,
Chronologic Discography 95-2002,Wojczech/EP/2000 - Das Gesunde Kind in der Sonne - Warten auf Tugend [Split EP with Cut Your Hair],Chronologic Discography 95-2002,5,MISSING_TRACKS,
Church of the Real,I Got You on Tape/Album/2012 - Church of the Real (Deluxe Version),Church of the Real,16,EXTRA_TRACKS,
Church of the Real,I Got You on Tape/Live/2012 - Jelling Musikfestival 2012,Jelling Musikfestival 2012,12,MISSING_TRACKS,
City,Stuart McCallum/Album/2015 - City,City,8,COMPLETE,
City,Stuart McCallum/EP/2017 - City Live,City Live,5,MISSING_TRACKS,
City of Gold,Wonderboom/Album/2006 - City of Gold,City of Gold,12,COMPLETE,
City of Gold,Wonderboom/Album/2024 - Hard Mode,Hard Mode,11,MISSING_TRACKS,
Classic Rock,John Haydock/Album/2022 - Best Of My Album-Oriented Rock,Classic Rock,12,EXTRA_TRACKS,
Classic Rock,John Haydock/Album/2022 - Child Of Infinity,Classic Rock,9,MISSING_TRACKS,
Classic Rock,John Haydock/Album/2022 - Pop!,Pop!,12,EXTRA_TRACKS,
